number,title,url,labels,body_len,reasons,body_preview
187,"[Other] **SLO Re-Scoring (docs/infra/ops-and-observability.md)**: ""Tightens"" ambiguous.",https://github.com/cmh-demos/kimberly/issues/187,documentation|enhancement|P3,116,placeholder words,"Why: Performance unclear. Next: Clarify as ""improves"" for managed DBs."
186,[Other] **Prep Week Details (docs/sprint-plan.md)**: Sprint 0 vague.,https://github.com/cmh-demos/kimberly/issues/186,documentation|enhancement|P3,70,placeholder words,Why: Planning unclear. Next: Detail objectives (e.g., finalize PRDs).
185,"[Other] **Free-Mode Enforcement (docs/needs-work.md)**: ""No CI blocks for paid APIs"".",https://github.com/cmh-demos/kimberly/issues/185,documentation|enhancement|P3,55,short body,Why: Cost risks. Next: Add CI grep for paid API calls.
184,"[Other] **Grace Window (docs/memory-model.md)**: ""Configurable (e.g., 30d)"" no default.",https://github.com/cmh-demos/kimberly/issues/184,documentation|enhancement|P3,57,short body,Why: Retention unpredictable. Next: Set default 30 days.
181,[Other] **Size Calculation (docs/memory-model.md)**: size_bytes undefined (content only?).,https://github.com/cmh-demos/kimberly/issues/181,documentation|enhancement|P3,81,placeholder words,Why: Quota enforcement unclear. Next: Define as len(content) + metadata overhead.
180,[Other] **Missing Diagrams/Wireframes**: Referenced SVGs not present.,https://github.com/cmh-demos/kimberly/issues/180,documentation|enhancement|P3,106,placeholder words,Why: Design blocked. Next: Create/add as per wireframes/README.md.
179,"[Other] **TBD in README.md**: ""Mobile: Download app (TBD)"".",https://github.com/cmh-demos/kimberly/issues/179,documentation|enhancement|P3,53,short body|placeholder words,Why: Incomplete. Next: Specify if planned or remove.
178,"[Other] **FE Abbreviation (docs/backlog-next-3-sprints.md)**: ""Docs/FE"" likely Frontend.",https://github.com/cmh-demos/kimberly/issues/178,documentation|enhancement|P3,56,short body,Why: Unclear. Next: Spell out ""Documentation/Frontend"".
177,"[Other] **Target User \"Me\" (PROJECT.md)**: \"Target user: ...",https://github.com/cmh-demos/kimberly/issues/177,documentation|enhancement|needs-triage|P3,93,label: needs-triage,"(me)\" first-person. Why: Confusing for readers. Next: Rephrase to \"project owner/developer\"."
175,[Other] **TBD Owners (Multiple Files)**: @backend-dev, @ml TBD in docs/RISK_ANALYSIS.md,,https://github.com/cmh-demos/kimberly/issues/175,documentation|enhancement|P3,100,placeholder words,Why: Accountability missing. Next: Assign from roles.md.
174,[Other] **Provider-Agnostic (docs/deployment-appendix.md)**: Claims portability but gives,https://github.com/cmh-demos/kimberly/issues/174,documentation|enhancement|P3,130,placeholder words,specifics. Why: Migration unclear. Next: List supported providers and migration steps.
170,[Other] **Goal Models (docs/memory-model.md)**: ""Match against active goal models"" vague.,https://github.com/cmh-demos/kimberly/issues/170,documentation|enhancement|P3,81,placeholder words,Why: Relevance unclear. Next: Clarify as user-defined goals or inferred intents.
169,[Other] **Freshness Boost (docs/memory-model.md)**: Mentioned but not defined (recency,,https://github.com/cmh-demos/kimberly/issues/169,documentation|enhancement|P3,85,placeholder words,factor?). Why: Scoring incomplete. Next: Define as exponential decay on last_seen_at.
161,[Other] No disaster recovery plan (backups untested).,https://github.com/cmh-demos/kimberly/issues/161,enhancement|needs-triage|P3,95,label: needs-triage,Why: Data loss risk. Next: Implement daily DB backups with restore tests.
160,[Other] No monitoring/alerting setup (Prometheus/Grafana mentioned but not configured).,https://github.com/cmh-demos/kimberly/issues/160,enhancement|needs-triage|P3,67,label: needs-triage,Why: No observability. Next: Add Helm charts for monitoring stack.
159,[Other] No backup/restore scripts or data export/import.,https://github.com/cmh-demos/kimberly/issues/159,enhancement|needs-triage|P3,73,label: needs-triage,Why: Data fragility. Next: Add scripts for DB dumps, JSON export/import.
158,[Other] No  or issue/PR templates.,https://github.com/cmh-demos/kimberly/issues/158,documentation|enhancement|needs-triage|P3,82,placeholder words|label: needs-triage,Why: Community standards missing. Next: Add standard templates for contributions.
157,[Other] Many placeholders/TBD in docs (e.g., mobile plan, branding).,https://github.com/cmh-demos/kimberly/issues/157,documentation|enhancement|P3,81,placeholder words,Why: Incomplete guidance. Next: Fill TBDs with decisions (e.g., PWA for mobile).
153,[Other] Telemetry privacy risk:  notes may contain PII.,https://github.com/cmh-demos/kimberly/issues/153,enhancement|needs-triage|P3,95,label: needs-triage,Why: GDPR\nviolation. Next: Redact or encrypt notes; add retention policy.
151,[Other] Scripts lack input validation (e.g.,  --note arg not sanitized).,https://github.com/cmh-demos/kimberly/issues/151,enhancement|needs-triage|P3,101,label: needs-triage,Why: Potential command injection or malformed JSON. Next: Add argparse validation and sanitization.
